customer_id,customer_name,segment,city,state,region_id,signup_date,cohort_month
C00001,Aryan Maharaj,Consumer,Rajahmundry,Chhattisgarh,1,2024-04-12,2024-04
C00002,Gagan Sami,Consumer,Ludhiana,Assam,4,2023-01-19,2023-01
C00003,Viraj Tiwari,Corporate,Kishanganj,Gujarat,3,2023-07-21,2023-07
C00004,Thomas Sen,Consumer,Chennai,Tripura,3,2023-06-13,2023-06
C00005,Pahal Oak,Consumer,Bhatpara,Gujarat,4,2024-06-22,2024-06
C00006,Harsh Chanda,Consumer,Jalandhar,Kerala,4,2024-05-09,2024-05
C00007,Aishani Bassi,Corporate,Jorhat,Bihar,2,2024-10-14,2024-10
C00008,Farhan Memon,Consumer,Gangtok,Gujarat,4,2023-03-05,2023-03
C00009,Chakradev Kari,Home Office,Vijayawada,West Bengal,2,2023-11-05,2023-11
C00010,Harrison Rai,Consumer,Malda,Rajasthan,4,2023-01-22,2023-01
C00011,Nicholas Prabhakar,Consumer,Bhagalpur,Sikkim,4,2023-06-09,2023-06
C00012,Ekbal Garg,Corporate,Ujjain,Manipur,1,2024-01-05,2024-01
C00013,Anamika Kanda,Consumer,Pimpri-Chinchwad,Haryana,1,2023-01-20,2023-01
C00014,Diya Rattan,Corporate,Amritsar,Gujarat,3,2023-05-26,2023-05
C00015,Simon Tata,Consumer,Berhampore,Chhattisgarh,4,2024-04-20,2024-04
C00016,Liam Koshy,Home Office,Bhimavaram,Maharashtra,3,2024-02-03,2024-02
C00017,Janaki Kanda,Consumer,Danapur,Meghalaya,3,2023-06-11,2023-06
C00018,Champak Choudhary,Corporate,Kozhikode,Uttar Pradesh,4,2024-03-06,2024-03
C00019,Devansh Rajan,Corporate,Kavali,Manipur,4,2024-08-14,2024-08
C00020,Advay Contractor,Consumer,Mau,Bihar,1,2023-01-05,2023-01
C00021,Radhika Dugar,Corporate,Delhi,Telangana,1,2024-08-12,2024-08
C00022,Xiti Gokhale,Consumer,Bihar Sharif,Uttarakhand,2,2024-05-25,2024-05
C00023,Michael Prakash,Home Office,Panvel,Tripura,4,2023-09-06,2023-09
C00024,Ekiya Suresh,Corporate,Gorakhpur,Kerala,2,2023-04-24,2023-04
C00025,Wriddhish Bhardwaj,Consumer,Tezpur,Assam,1,2024-11-30,2024-11
C00026,Vedika Biswas,Consumer,Warangal,Sikkim,4,2023-09-04,2023-09
C00027,Noah Lanka,Consumer,Rajpur Sonarpur,Nagaland,3,2023-03-09,2023-03
C00028,Devika Rastogi,Corporate,Bahraich,Mizoram,4,2023-03-12,2023-03
C00029,Jai Kota,Consumer,Rajkot,Karnataka,2,2024-09-11,2024-09
C00030,Victor Kannan,Consumer,Madurai,Tamil Nadu,2,2024-03-17,2024-03
C00031,Veer Bir,Corporate,Bathinda,Assam,2,2024-08-13,2024-08
C00032,Arya Sunder,Consumer,Panvel,Chhattisgarh,2,2024-06-17,2024-06
C00033,Xavier Solanki,Corporate,Jhansi,Bihar,2,2024-01-27,2024-01
C00034,Raagini Pandya,Consumer,Bulandshahr,Manipur,2,2024-12-12,2024-12
C00035,Guneet Bhat,Corporate,Sonipat,Uttar Pradesh,2,2023-10-04,2023-10
